adapter,cost_usd,design,detected_defect_ids,f1,false_positive_clusters,false_positives,group,input_tokens,kind,latency_seconds_serial_sum,model,output_tokens,packet,possible_defects,precision,provider_index,recall,repeat,set_id,true_findings_per_1k_output_tokens,true_findings_per_dollar,true_positives,wrapper
pi,0.0,provider_pair,KR-01|KR-02|KR-04|KR-05,0.6666666666666666,,0,pi:functional,793,final,12.93910204200074,gemma-4-31b-it,398,02-key-rotation,8,1.0,0,0.5,7,s-dca19091497f93f8,10.050251256281408,,4,functional
pi,0.0,provider_pair,RD-01|RD-02|RD-03|RD-04|RD-05,0.7692307692307693,,0,pi:fictional,972,final,15.10272820899263,gemma-4-31b-it,471,01-revenue-dashboard,8,1.0,0,0.625,8,s-1820a949f9687dca,10.615711252653927,,5,fictional
pi,0.0,provider_pair,KR-01|KR-02|KR-04|KR-05,0.6666666666666666,,0,pi:functional,790,final,12.453909792006016,gemma-4-31b-it,390,02-key-rotation,8,1.0,0,0.5,5,s-693e7723578762f7,10.256410256410257,,4,functional
pi,0.0,provider_pair,WH-01|WH-02|WH-03|WH-05|WH-06|WH-07,0.8571428571428571,,0,pi:fictional,805,final,16.43902029201854,gemma-4-31b-it,532,03-webhook-redesign,8,1.0,0,0.75,0,s-e52ce54ee91d4c6f,11.278195488721805,,6,fictional
pi,0.0,provider_pair,RD-01|RD-02|RD-03,0.4615384615384615,bypass_cube_contract|grouping_by_mutable_key_instead_of_stable_id,2,pi:functional,968,final,14.872068999917246,gemma-4-31b-it,484,01-revenue-dashboard,8,0.6,0,0.375,9,s-98da8acd79192486,6.198347107438017,,3,functional
pi,0.0,provider_pair,KR-01|KR-02|KR-04|KR-05,0.6153846153846154,conditional_restart_stale_credentials,1,pi:functional,791,final,15.04851824999787,gemma-4-31b-it,477,02-key-rotation,8,0.8,0,0.5,9,s-648904e78830f6fb,8.385744234800839,,4,functional
pi,0.0,provider_pair,RD-01|RD-02|RD-03|RD-04|RD-05,0.7692307692307693,,0,pi:functional,967,final,17.62148229207378,gemma-4-31b-it,564,01-revenue-dashboard,8,1.0,0,0.625,6,s-6fa072e14cf8c2b9,8.865248226950355,,5,functional
pi,0.0,provider_pair,RD-01|RD-02|RD-03|RD-05,0.6153846153846154,double_aggregation_of_summed_column,1,pi:fictional,973,final,15.640312166069634,gemma-4-31b-it,497,01-revenue-dashboard,8,0.8,0,0.5,0,s-281980c09016b067,8.048289738430583,,4,fictional
pi,0.0,provider_pair,KR-02|KR-04|KR-05,0.5454545454545454,,0,pi:fictional,795,final,9.159842791035771,gemma-4-31b-it,268,02-key-rotation,8,1.0,0,0.375,2,s-22cdf15128db9ff6,11.194029850746269,,3,fictional
pi,0.0,provider_pair,RD-01|RD-02|RD-03|RD-05|RD-07,0.7692307692307693,,0,pi:fictional,973,final,14.534999833093025,gemma-4-31b-it,464,01-revenue-dashboard,8,1.0,0,0.625,2,s-1c256722ac9cf6ea,10.775862068965518,,5,fictional
pi,0.0,provider_pair,WH-01|WH-02|WH-03|WH-05|WH-06|WH-07|WH-08,0.9333333333333333,,0,pi:functional,799,final,20.16901770804543,gemma-4-31b-it,656,03-webhook-redesign,8,1.0,0,0.875,8,s-6d4b2f85c131674e,10.670731707317072,,7,functional
pi,0.0,provider_pair,KR-01|KR-02|KR-04|KR-05,0.6666666666666666,,0,pi:functional,791,final,11.646486583049409,gemma-4-31b-it,359,02-key-rotation,8,1.0,0,0.5,1,s-2d15d8e594276654,11.142061281337048,,4,functional
pi,0.0,provider_pair,KR-01|KR-02|KR-04|KR-05,0.6666666666666666,,0,pi:fictional,798,final,10.820609249989502,gemma-4-31b-it,332,02-key-rotation,8,1.0,0,0.5,8,s-ef606d9696f4b878,12.048192771084338,,4,fictional
pi,0.0,provider_pair,KR-01|KR-02|KR-04|KR-05,0.6666666666666666,,0,pi:fictional,799,final,11.715266292099841,gemma-4-31b-it,361,02-key-rotation,8,1.0,0,0.5,5,s-c8438d4e131d846c,11.0803324099723,,4,fictional
pi,0.0,provider_pair,KR-01|KR-02|KR-04|KR-05,0.6666666666666666,,0,pi:fictional,799,final,11.008649124996737,gemma-4-31b-it,334,02-key-rotation,8,1.0,0,0.5,9,s-01e3580d9d8ad158,11.976047904191617,,4,fictional
pi,0.0,provider_pair,WH-01|WH-02|WH-03|WH-05|WH-06|WH-07|WH-08,0.9333333333333333,,0,pi:fictional,804,final,18.773577208979987,gemma-4-31b-it,611,03-webhook-redesign,8,1.0,0,0.875,9,s-a89bdfa82735cd5e,11.456628477905074,,7,fictional
pi,0.0,provider_pair,RD-01|RD-02|RD-03|RD-04|RD-05,0.7692307692307693,,0,pi:fictional,974,final,15.056945292046294,gemma-4-31b-it,488,01-revenue-dashboard,8,1.0,0,0.625,6,s-ed78305b1beffd2f,10.245901639344263,,5,fictional
pi,0.0,provider_pair,KR-01|KR-02|KR-04|KR-05,0.6666666666666666,,0,pi:functional,790,final,12.312295874929987,gemma-4-31b-it,374,02-key-rotation,8,1.0,0,0.5,3,s-291b2c970d416056,10.695187165775401,,4,functional
pi,0.0,provider_pair,KR-01|KR-02|KR-04|KR-05,0.6666666666666666,,0,pi:fictional,797,final,10.488519083010033,gemma-4-31b-it,324,02-key-rotation,8,1.0,0,0.5,1,s-b914e8cd3206f95a,12.345679012345679,,4,fictional
pi,0.0,provider_pair,RD-01|RD-02|RD-03|RD-04|RD-05,0.7692307692307693,,0,pi:functional,965,final,15.518044332973659,gemma-4-31b-it,491,01-revenue-dashboard,8,1.0,0,0.625,4,s-81cad27570642bba,10.183299389002036,,5,functional
pi,0.0,provider_pair,KR-01|KR-02|KR-04|KR-05,0.6153846153846154,vague_or_missing_rollback_instructions,1,pi:fictional,796,final,13.64894116600044,gemma-4-31b-it,433,02-key-rotation,8,0.8,0,0.5,7,s-3f0eff7649e86d06,9.237875288683602,,4,fictional
pi,0.0,provider_pair,KR-01|KR-02|KR-04|KR-05,0.6666666666666666,,0,pi:fictional,794,final,10.876383291906677,gemma-4-31b-it,333,02-key-rotation,8,1.0,0,0.5,3,s-206cc60afe410561,12.012012012012011,,4,fictional
pi,0.0,provider_pair,KR-01|KR-02|KR-04|KR-05,0.6666666666666666,,0,pi:functional,789,final,13.272585124941543,gemma-4-31b-it,422,02-key-rotation,8,1.0,0,0.5,2,s-b2a190e8ee1363c7,9.47867298578199,,4,functional
pi,0.0,provider_pair,WH-01|WH-02|WH-03|WH-05|WH-06|WH-07|WH-08,0.9333333333333333,,0,pi:functional,800,final,18.084201958030462,gemma-4-31b-it,591,03-webhook-redesign,8,1.0,0,0.875,0,s-e569287fc546ab8c,11.844331641285956,,7,functional
pi,0.0,provider_pair,RD-01|RD-02|RD-03|RD-04|RD-05|RD-07,0.8571428571428571,,0,pi:functional,968,final,17.64536783308722,gemma-4-31b-it,574,01-revenue-dashboard,8,1.0,0,0.75,0,s-fd3bb9d498a9d37e,10.452961672473867,,6,functional
pi,0.0,provider_pair,RD-01|RD-02|RD-03|RD-05|RD-07,0.7692307692307693,,0,pi:functional,969,final,14.584211791981943,gemma-4-31b-it,467,01-revenue-dashboard,8,1.0,0,0.625,7,s-1793a185e18d4f8c,10.70663811563169,,5,functional
