arm,cost_usd,design,detected_defect_ids,f1,false_positive_clusters,false_positives,group,input_tokens,kind,latency_seconds_serial_sum,output_tokens,packet,possible_defects,precision,recall,repeat,set_id,true_findings_per_1k_output_tokens,true_findings_per_dollar,true_positives
M2,0.0,stage_a,WH-01|WH-02|WH-03|WH-04|WH-05|WH-06|WH-07|WH-08,0.888888888888889,poison_pill_queue_blocking|pre_insert_check_cost_and_latency,2,M2:raw_union,5640,raw_union,103.37295508210082,3260,03-webhook-redesign,8,0.8,1.0,0,s-8e54f5f80931c3e8,2.4539877300613497,,8
M0,0.0,stage_a,RD-01|RD-02|RD-03|RD-04|RD-05|RD-07,0.8571428571428571,,0,M0:fused,13280,fused,168.4734483761713,5543,01-revenue-dashboard,8,1.0,0.75,0,s-5c68f29210f911f5,1.0824463287028685,,6
M0,0.0,stage_a,KR-01|KR-02|KR-04|KR-05|KR-06|KR-07,0.8571428571428571,,0,M0:raw_union,6465,raw_union,109.77141662419308,3475,02-key-rotation,8,1.0,0.75,0,s-c1918cee7769696e,1.7266187050359711,,6
S0,0.0,stage_a,KR-02|KR-04|KR-05|KR-07,0.6666666666666666,,0,S0:final,688,final,13.077474207966588,409,02-key-rotation,8,1.0,0.5,0,s-d4e1e74e7b0377e6,9.7799511002445,,4
M2,0.0,stage_a,KR-01|KR-02|KR-04|KR-05|KR-06,0.7142857142857143,missing_specific_commands_or_runbook_guidance,1,M2:fused,8610,fused,94.76945416489616,2895,02-key-rotation,8,0.8333333333333334,0.625,0,s-eaaede1cd4582b63,1.7271157167530224,,5
M0,0.0,stage_a,KR-01|KR-02|KR-04|KR-05|KR-06|KR-07,0.8571428571428571,,0,M0:fused,10840,fused,136.1764569162624,4372,02-key-rotation,8,1.0,0.75,0,s-316a2dadea9718fc,1.3723696248856359,,6
S1,0.0,stage_a,KR-02|KR-04|KR-05|KR-06|KR-07,0.7692307692307693,,0,S1:final,921,final,15.912278875010088,511,02-key-rotation,8,1.0,0.625,0,s-e16188cc1a7701e3,9.784735812133073,,5
M1,0.0,stage_a,WH-01|WH-02|WH-03|WH-04|WH-05|WH-06|WH-07|WH-08,0.8421052631578948,poison_pill_blocking_queue|pre_insert_check_cost|ui_service_layer_coupling,3,M1:raw_union,5606,raw_union,107.54034666705411,3382,03-webhook-redesign,8,0.7272727272727273,1.0,0,s-729e6b3b472a7954,2.365464222353637,,8
M2,0.0,stage_a,KR-01|KR-02|KR-04|KR-05|KR-06|KR-07,0.7999999999999999,missing_explicit_commands,1,M2:raw_union,5591,raw_union,68.3245913728606,2016,02-key-rotation,8,0.8571428571428571,0.75,0,s-6f1968681a3ce1bc,2.9761904761904763,,6
M1,0.0,stage_a,RD-01|RD-02|RD-03|RD-04|RD-05|RD-06|RD-07,0.875,hourly_full_table_rebuild_inefficiency,1,M1:fused,10480,fused,109.85514624894131,3459,01-revenue-dashboard,8,0.875,0.875,0,s-f0c51f1455e173d4,2.0237062734894478,,7
