arm,confidence,defect_id,design,item_id,kind,material,packet,rater,repeat,set_id
M1,high,KR-05,stage_a,i-00255502f8dad647,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-3aaddbda5cda59c3
M1,high,RD-01,stage_a,i-004a2bb0cdb1c219,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-3982004e060be2cf
M1,high,KR-05,stage_a,i-00a417310cfe0297,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-3aaddbda5cda59c3
M1,medium,RD-05,stage_a,i-0128fa9d17bbe563,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-3982004e060be2cf
S0,high,KR-01,stage_a,i-02229390c9cdc0b8,final,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-bfeab9397dc3e4a9
M0,high,WH-03,stage_a,i-0309652f7925d147,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-1818ee541187a9fa
M1,medium,NONE,stage_a,i-036fe3e970f0fd23,raw_union,False,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-3982004e060be2cf
M0,high,KR-04,stage_a,i-03b8826c242fee96,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-4e65858cf06c6cc9
S2,high,RD-05,stage_a,i-041bbe1618148cd8,final,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-5164bcc63d8047c1
M1,medium,WH-06,stage_a,i-0452241f443302b4,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-5cd85229b4a7d16f
M0,high,RD-06,stage_a,i-045b684f6a4156e9,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-a744b6122a4dffb8
M2,high,KR-04,stage_a,i-04be38fe94dd43f4,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-e7344701b871370d
M2,high,WH-07,stage_a,i-05ab387860ef1460,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-0b1e6281f5f0570f
M0,medium,RD-06,stage_a,i-05bfe5b9ca8987c8,fused,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-de2f31d5b043ab4e
M2,high,RD-08,stage_a,i-05fc3c36d6409d8a,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-67c95b2fa828507a
M1,medium,NONE,stage_a,i-062d83cc07253818,raw_union,False,02-key-rotation,llm:claude-sonnet-4-6,0,s-3aaddbda5cda59c3
M0,high,KR-06,stage_a,i-065a5aa566ab0186,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-4e65858cf06c6cc9
S1,medium,KR-06,stage_a,i-069d2cb8fc714909,final,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-966afc2eb1136441
S0,high,KR-02,stage_a,i-0707a1244cd4ed2a,final,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-bfeab9397dc3e4a9
M2,medium,WH-06,stage_a,i-07307d56599e3321,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-0b1e6281f5f0570f
M0,high,WH-05,stage_a,i-0738865abf735dad,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-1818ee541187a9fa
M2,medium,RD-02,stage_a,i-07b69ab0d705b741,fused,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-3a6e370c6bad0079
M0,high,RD-05,stage_a,i-07ccccb4d7b2beb9,fused,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-de2f31d5b043ab4e
M2,high,RD-03,stage_a,i-08cdfdd3b727f9d3,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-67c95b2fa828507a
S2,high,RD-02,stage_a,i-0900595dd43cab75,final,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-5164bcc63d8047c1
M2,low,NONE,stage_a,i-0902355da33768fc,raw_union,False,02-key-rotation,llm:claude-sonnet-4-6,0,s-e7344701b871370d
M1,high,RD-03,stage_a,i-095533da55629f5c,fused,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-73ef658e8d890307
M2,high,WH-05,stage_a,i-0a5a0c7ed9352186,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-0b1e6281f5f0570f
M0,medium,KR-04,stage_a,i-0a6246df37122afa,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-4e65858cf06c6cc9
M1,high,WH-02,stage_a,i-0aea22af2247d32a,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-5cd85229b4a7d16f
M0,high,WH-05,stage_a,i-0b002cadfe67caba,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-1818ee541187a9fa
M1,high,KR-04,stage_a,i-0b33588bdc76029a,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-3aaddbda5cda59c3
M1,high,WH-05,stage_a,i-0b3f961d2bcce04b,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-5cd85229b4a7d16f
M1,high,KR-05,stage_a,i-0b57fc4bc9493775,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-3aaddbda5cda59c3
M1,high,KR-04,stage_a,i-0b7e3e987d6e0f73,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-3aaddbda5cda59c3
M0,high,WH-08,stage_a,i-0bacfd740f88072d,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-1818ee541187a9fa
M2,high,RD-05,stage_a,i-0bb8bef34398d5aa,raw_union,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-67c95b2fa828507a
M0,high,RD-08,stage_a,i-0bd0eb05ff55d62d,fused,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-de2f31d5b043ab4e
S1,medium,KR-05,stage_a,i-0c6ee252fa27093d,final,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-966afc2eb1136441
M1,medium,NONE,stage_a,i-0c8213e4afa8b19b,raw_union,False,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-5cd85229b4a7d16f
M1,high,WH-06,stage_a,i-0cf51c54b3a31605,fused,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-4993a15e174cd196
S1,high,WH-01,stage_a,i-0d89c71453204acd,final,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-5970850e40daecb9
M1,high,KR-05,stage_a,i-0d923598d05c94fe,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-3aaddbda5cda59c3
M1,high,RD-05,stage_a,i-0db0f8f2dbd8cba9,fused,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-73ef658e8d890307
M0,medium,WH-06,stage_a,i-0e1576ea26217428,raw_union,True,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-1818ee541187a9fa
S2,high,RD-07,stage_a,i-0e2a935a4d4e6f8e,final,True,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-5164bcc63d8047c1
M0,high,NONE,stage_a,i-0e74e3106fe6d0e2,raw_union,False,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-a744b6122a4dffb8
M0,medium,NONE,stage_a,i-0eaa501f771e927c,raw_union,False,01-revenue-dashboard,llm:claude-sonnet-4-6,0,s-a744b6122a4dffb8
M2,high,KR-01,stage_a,i-0f18860c10622154,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-e7344701b871370d
M1,medium,KR-06,stage_a,i-0f2ec19d36f1b50a,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-3aaddbda5cda59c3
M0,high,KR-06,stage_a,i-0f55b4454ddd8f78,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-4e65858cf06c6cc9
M0,high,KR-06,stage_a,i-0f5d21477aa7a4dd,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-4e65858cf06c6cc9
M0,medium,KR-06,stage_a,i-0f6443b793742113,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-4e65858cf06c6cc9
M2,low,NONE,stage_a,i-105d9b438eb15872,raw_union,False,02-key-rotation,llm:claude-sonnet-4-6,0,s-e7344701b871370d
M1,medium,NONE,stage_a,i-106d18ae2082582d,raw_union,False,03-webhook-redesign,llm:claude-sonnet-4-6,0,s-5cd85229b4a7d16f
M0,medium,KR-05,stage_a,i-109880b46c358f0c,raw_union,True,02-key-rotation,llm:claude-sonnet-4-6,0,s-4e65858cf06c6cc9
