arm,cost_usd,design,f1,false_positives,group,input_tokens,kind,latency_seconds_serial_sum,output_tokens,packet,possible_defects,precision,recall,repeat,set_id,true_findings_per_1k_output_tokens,true_findings_per_dollar,true_positives
M2,0.42039200000000004,stage_a,0.8421052631578948,3,M2:raw_union,13275,raw_union,656.8981712490786,71747,03-webhook-redesign,8,0.7272727272727273,1.0,0,s-0b1e6281f5f0570f,0.11150291998271705,19.02985784696188,8
M2,0.39755299999999993,stage_a,0.5333333333333333,14,M2:raw_union,14511,raw_union,665.9063535841415,71792,01-revenue-dashboard,8,0.36363636363636365,1.0,0,s-67c95b2fa828507a,0.11143302874972141,20.123103083110934,8
M0,0.370604,stage_a,0.5833333333333334,9,M0:raw_union,15449,raw_union,671.1857030001702,71031,01-revenue-dashboard,8,0.4375,0.875,0,s-a744b6122a4dffb8,0.09854852106826596,18.88808539573237,7
M1,0.49165629999999994,stage_a,0.6666666666666666,2,M1:fused,14470,fused,779.9036771669053,86270,01-revenue-dashboard,8,0.7142857142857143,0.625,0,s-73ef658e8d890307,0.0579575750550597,10.16970595108819,5
S1,0.062669,stage_a,0.9333333333333333,0,S1:final,2029,final,116.89931662508752,12128,03-webhook-redesign,8,1.0,0.875,0,s-5970850e40daecb9,0.5771767810026385,111.69796869265505,7
M0,0.475427,stage_a,0.9333333333333333,0,M0:fused,15458,fused,833.3801044581924,88385,01-revenue-dashboard,8,1.0,0.875,0,s-de2f31d5b043ab4e,0.0791989590993947,14.7236063580739,7
S0,0.063378,stage_a,0.6666666666666666,0,S0:final,1948,final,122.03170737507753,12286,01-revenue-dashboard,8,1.0,0.5,0,s-967375e4a0254714,0.3255738238645613,63.11338319290605,4
M2,0.484616,stage_a,0.6666666666666666,2,M2:fused,13210,fused,771.7303962111473,77222,02-key-rotation,8,0.7142857142857143,0.625,0,s-2079af0b2551591a,0.06474838776514465,10.317447215940044,5
M0,0.383043,stage_a,0.7000000000000001,5,M0:raw_union,14203,raw_union,736.6193474159809,73768,03-webhook-redesign,8,0.5833333333333334,0.875,0,s-1818ee541187a9fa,0.09489209413295738,18.274710672169963,7
M0,0.451522,stage_a,0.7142857142857143,1,M0:fused,14138,fused,798.1202004579827,78271,02-key-rotation,8,0.8333333333333334,0.625,0,s-4934172b794d0601,0.06388061989753549,11.073657540496367,5
S2,0.064011,stage_a,0.9333333333333333,0,S2:final,2211,final,124.93941487499978,12360,01-revenue-dashboard,8,1.0,0.875,0,s-5164bcc63d8047c1,0.5663430420711975,109.35620440236835,7
M2,0.518117,stage_a,0.9333333333333333,0,M2:fused,13284,fused,817.1941699160961,87957,03-webhook-redesign,8,1.0,0.875,0,s-67b1067297e150e5,0.0795843423491024,13.510461922693136,7
M1,0.36366000000000004,stage_a,0.5925925925925926,11,M1:raw_union,13213,raw_union,650.4527169998037,67409,03-webhook-redesign,8,0.42105263157894735,1.0,0,s-5cd85229b4a7d16f,0.11867851473838804,21.998570092943957,8
M0,0.32844399999999996,stage_a,0.5263157894736842,6,M0:raw_union,14119,raw_union,650.1022864580154,62865,02-key-rotation,8,0.45454545454545453,0.625,0,s-4e65858cf06c6cc9,0.07953551260637874,15.223295295392823,5
S2,0.061648,stage_a,0.8571428571428571,0,S2:final,2033,final,121.73540770902764,11923,03-webhook-redesign,8,1.0,0.75,0,s-7f09ac09c5f2d74d,0.5032290530906651,97.32675837010122,6
M2,0.5272749999999999,stage_a,0.75,2,M2:fused,14520,fused,813.8485390420537,94739,01-revenue-dashboard,8,0.75,0.75,0,s-3a6e370c6bad0079,0.06333189077359905,11.379261296287517,6
M1,0.42353799999999997,stage_a,0.7142857142857143,1,M1:fused,13130,fused,741.8433342089411,78592,02-key-rotation,8,0.8333333333333334,0.625,0,s-38caa01ecaa31383,0.06361970684039088,11.805316169977665,5
M0,0.5110748,stage_a,0.9333333333333333,0,M0:fused,14222,fused,893.102422665921,89948,03-webhook-redesign,8,1.0,0.875,0,s-ec2f900b6c1a4066,0.07782274202872771,13.696625229809804,7
M2,0.358524,stage_a,0.5217391304347827,9,M2:raw_union,13201,raw_union,575.9303132111672,55357,02-key-rotation,8,0.4,0.75,0,s-e7344701b871370d,0.10838737648355222,16.73528132007899,6
S0,0.04382300000000001,stage_a,0.7692307692307693,0,S0:final,1758,final,88.77639495802578,8413,02-key-rotation,8,1.0,0.625,0,s-bfeab9397dc3e4a9,0.5943183168905266,114.09533806448667,5
S2,0.038456000000000004,stage_a,0.6153846153846154,1,S2:final,2021,final,73.71171587507706,7287,02-key-rotation,8,0.8,0.5,0,s-12e0b033ff4f2e63,0.5489227391244682,104.01497815685458,4
S1,0.042212,stage_a,0.9333333333333333,0,S1:final,2207,final,78.66479583305772,8001,01-revenue-dashboard,8,1.0,0.875,0,s-648846afe5069c31,0.8748906386701663,165.82962190846206,7
M1,0.317656,stage_a,0.5185185185185185,12,M1:raw_union,13121,raw_union,575.3106960429577,60907,02-key-rotation,8,0.3684210526315789,0.875,0,s-3aaddbda5cda59c3,0.11492931846914148,22.036416752713627,7
M1,0.36447599999999997,stage_a,0.5517241379310345,13,M1:raw_union,14451,raw_union,658.6775126249995,70005,01-revenue-dashboard,8,0.38095238095238093,1.0,0,s-3982004e060be2cf,0.1142775516034569,21.94931902237733,8
M1,0.46317500000000006,stage_a,0.875,1,M1:fused,13222,fused,811.8475651657209,83735,03-webhook-redesign,8,0.875,0.875,0,s-4993a15e174cd196,0.08359706216038694,15.113078210179737,7
S1,0.056255,stage_a,0.7142857142857143,1,S1:final,2027,final,77.57894350006245,7402,02-key-rotation,8,0.8333333333333334,0.625,0,s-966afc2eb1136441,0.6754931099702783,88.88098835659052,5
S0,0.022295000000000002,stage_a,1.0,0,S0:final,1770,final,41.45728400000371,4105,03-webhook-redesign,8,1.0,1.0,0,s-03f22d86370e646e,1.94884287454324,358.82484862076694,8
